"Source Url","Url","Column 4","Country","Us$"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Monaco","#Rank:1","#Country:Monaco","#Us$:173,377"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Liechtenstein","#Rank:2","#Country:Liechtenstein","#Us$:152,933"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Luxembourg","#Rank:3","#Country:Luxembourg","#Us$:113,373"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Norway","#Rank:4","#Country:Norway","#Us$:103,586"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Qatar","#Rank:5","#Country:Qatar","#Us$:93,352"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Macau","#Rank:—","#Country:Macau","#Us$:91,377"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Bermuda","#Rank:—","#Country:Bermuda","#Us$:85,302"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Switzerland","#Rank:6","#Country:Switzerland","#Us$:84,854"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Australia","#Rank:7","#Country:Australia","#Us$:65,600"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Sweden","#Rank:8","#Country:Sweden","#Us$:60,566"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Denmark","#Rank:9","#Country:Denmark","#Us$:59,921"
